sweep,sweep_label,scenario,scenario_label,operation,operation_label,avg_gas,std_gas,min_gas,max_gas,rounds,success_rounds,failure_rounds,status
temporal_span,Temporal Span Sweep,t1_same_day,T1 Same Day,registerBatch,Register Batch,451335.58,0,451335.58,451335.58,10,10,0,ok
temporal_span,Temporal Span Sweep,t1_same_day,T1 Same Day,findBatchesInTimePeriod,Q2 Batches In Time Period,144540,0,144540,144540,10,10,0,ok
temporal_span,Temporal Span Sweep,t1_same_day,T1 Same Day,findBatchesInAreaDuringTime_SpatialFirst,Q3 Area During Time (Spatial First),82593,0,82593,82593,10,10,0,ok
temporal_span,Temporal Span Sweep,t1_same_day,T1 Same Day,findBatchesInAreaDuringTime_TemporalFirst,Q4 Area During Time (Temporal First),73014,0,73014,73014,10,10,0,ok
temporal_span,Temporal Span Sweep,t1_same_day,T1 Same Day,findBatchesInsideParcelDuringTime,Q6 Batches Inside Parcel During Time,69561,0,69561,69561,10,10,0,ok
temporal_span,Temporal Span Sweep,t2_week,T2 One Week,registerBatch,Register Batch,597550.75,0,597550.75,597550.75,10,10,0,ok
temporal_span,Temporal Span Sweep,t2_week,T2 One Week,findBatchesInTimePeriod,Q2 Batches In Time Period,293320,0,293320,293320,10,10,0,ok
temporal_span,Temporal Span Sweep,t2_week,T2 One Week,findBatchesInAreaDuringTime_SpatialFirst,Q3 Area During Time (Spatial First),82593,0,82593,82593,10,10,0,ok
temporal_span,Temporal Span Sweep,t2_week,T2 One Week,findBatchesInAreaDuringTime_TemporalFirst,Q4 Area During Time (Temporal First),142346,0,142346,142346,10,10,0,ok
temporal_span,Temporal Span Sweep,t2_week,T2 One Week,findBatchesInsideParcelDuringTime,Q6 Batches Inside Parcel During Time,69561,0,69561,69561,10,10,0,ok
temporal_span,Temporal Span Sweep,t3_month,T3 One Month,registerBatch,Register Batch,680226.23,0.3,680225.33,680226.33,10,10,0,ok
temporal_span,Temporal Span Sweep,t3_month,T3 One Month,findBatchesInTimePeriod,Q2 Batches In Time Period,422975,0,422975,422975,10,10,0,ok
temporal_span,Temporal Span Sweep,t3_month,T3 One Month,findBatchesInAreaDuringTime_SpatialFirst,Q3 Area During Time (Spatial First),82593,0,82593,82593,10,10,0,ok
temporal_span,Temporal Span Sweep,t3_month,T3 One Month,findBatchesInAreaDuringTime_TemporalFirst,Q4 Area During Time (Temporal First),261369,0,261369,261369,10,10,0,ok
temporal_span,Temporal Span Sweep,t3_month,T3 One Month,findBatchesInsideParcelDuringTime,Q6 Batches Inside Parcel During Time,69561,0,69561,69561,10,10,0,ok
temporal_span,Temporal Span Sweep,t4_quarter,T4 One Quarter,registerBatch,Register Batch,680226.33,0,680226.33,680226.33,10,10,0,ok
temporal_span,Temporal Span Sweep,t4_quarter,T4 One Quarter,findBatchesInTimePeriod,Q2 Batches In Time Period,572435,0,572435,572435,10,10,0,ok
temporal_span,Temporal Span Sweep,t4_quarter,T4 One Quarter,findBatchesInAreaDuringTime_SpatialFirst,Q3 Area During Time (Spatial First),82593,0,82593,82593,10,10,0,ok
temporal_span,Temporal Span Sweep,t4_quarter,T4 One Quarter,findBatchesInAreaDuringTime_TemporalFirst,Q4 Area During Time (Temporal First),413949,0,413949,413949,10,10,0,ok
temporal_span,Temporal Span Sweep,t4_quarter,T4 One Quarter,findBatchesInsideParcelDuringTime,Q6 Batches Inside Parcel During Time,69561,0,69561,69561,10,10,0,ok
spatial_selectivity,Spatial Selectivity Sweep,s1_selective,S1 Selective,findBatchesInArea,Q1 Batches In Area,66359,0,66359,66359,10,10,0,ok
spatial_selectivity,Spatial Selectivity Sweep,s1_selective,S1 Selective,findBatchesInAreaDuringTime_SpatialFirst,Q3 Area During Time (Spatial First),82593,0,82593,82593,10,10,0,ok
spatial_selectivity,Spatial Selectivity Sweep,s1_selective,S1 Selective,findBatchesInAreaDuringTime_TemporalFirst,Q4 Area During Time (Temporal First),261369,0,261369,261369,10,10,0,ok
spatial_selectivity,Spatial Selectivity Sweep,s1_selective,S1 Selective,countBatchesInArea,Q7 Count Batches In Area,45856,0,45856,45856,10,10,0,ok
spatial_selectivity,Spatial Selectivity Sweep,s1_selective,S1 Selective,findLotsInArea,Q8 Lots In Area,82500,0,82500,82500,10,10,0,ok
spatial_selectivity,Spatial Selectivity Sweep,s2_moderate,S2 Moderate,findBatchesInArea,Q1 Batches In Area,97980,0,97980,97980,10,10,0,ok
spatial_selectivity,Spatial Selectivity Sweep,s2_moderate,S2 Moderate,findBatchesInAreaDuringTime_SpatialFirst,Q3 Area During Time (Spatial First),121924,0,121924,121924,10,10,0,ok
